Date,Price,Open,High,Low,Vol.,Change %
20-Aug-21,18.56,22.74,23.9,18.18,-,-14.35%
19-Aug-21,21.67,23.12,24.74,20.37,-,0.46%
18-Aug-21,21.57,17.56,21.64,17.31,-,20.44%
17-Aug-21,17.91,17.31,19.56,16.71,-,11.10%
16-Aug-21,16.12,17.05,17.71,16.02,-,4.34%
13-Aug-21,15.45,15.68,15.72,15.19,-,-0.90%
12-Aug-21,15.59,16.33,16.42,15.49,-,-2.93%
11-Aug-21,16.06,16.81,17.09,15.87,-,-4.35%
10-Aug-21,16.79,16.82,17.05,16.34,-,0.42%
9-Aug-21,16.72,17.12,17.39,16.59,-,3.53%
6-Aug-21,16.15,17.46,17.5,16.14,-,-6.54%
5-Aug-21,17.28,17.73,17.84,17.23,-,-3.84%
4-Aug-21,17.97,18.23,18.9,17.67,-,-0.39%
3-Aug-21,18.04,19.17,20.44,17.7,-,-7.30%
2-Aug-21,19.46,18.16,19.87,17.99,-,6.69%
30-Jul-21,18.24,19.69,19.72,17.53,-,3.05%
29-Jul-21,17.7,17.91,18.01,17.19,-,-3.33%
28-Jul-21,18.31,19.41,19.62,17.52,-,-5.42%
27-Jul-21,19.36,18.62,20.44,18.25,-,10.13%
26-Jul-21,17.58,18.67,19.39,17.53,-,2.21%
23-Jul-21,17.2,16.98,17.48,16.33,-,-2.77%
22-Jul-21,17.69,17.59,18.45,17.4,-,-1.23%
21-Jul-21,17.91,19.73,19.82,17.81,-,-9.22%
20-Jul-21,19.73,20.89,22.97,19.37,-,-12.31%
19-Jul-21,22.5,19.61,25.09,19.27,-,21.95%
16-Jul-21,18.45,16.8,18.7,16.03,-,8.47%
15-Jul-21,17.01,16.7,18.09,16.56,-,4.16%
14-Jul-21,16.33,17.34,17.51,15.95,-,-4.61%
13-Jul-21,17.12,16.39,17.23,15.94,-,5.88%
12-Jul-21,16.17,16.85,17.52,16.14,-,-0.06%
9-Jul-21,16.18,17.88,18.13,16.08,-,-14.84%
8-Jul-21,19,17.74,21.29,17.74,-,17.28%
7-Jul-21,16.2,16.43,17.64,16.08,-,-1.46%
6-Jul-21,16.44,15.77,17.94,15.73,-,9.09%
2-Jul-21,15.07,15.53,15.54,14.25,-,-2.65%
1-Jul-21,15.48,15.62,16.01,15.31,-,-2.21%
30-Jun-21,15.83,16.18,17.31,15.58,-,-1.19%
29-Jun-21,16.02,15.69,16.31,14.1,-,1.65%
28-Jun-21,15.76,16.07,16.46,15.39,-,0.90%
25-Jun-21,15.62,16.04,16.17,15.21,-,-2.19%
24-Jun-21,15.97,15.99,16.05,14.19,-,-2.14%
23-Jun-21,16.32,16.25,16.84,14.86,-,-2.04%
22-Jun-21,16.66,17.91,18.32,15.76,-,-6.88%
21-Jun-21,17.89,21.74,21.82,17.81,-,-13.57%
18-Jun-21,20.7,16.96,21.04,16.92,-,16.62%
17-Jun-21,17.75,18.49,19.22,16.71,-,-2.20%
16-Jun-21,18.15,16.99,19.11,16.42,-,6.64%
15-Jun-21,17.02,16.27,17.35,16.14,-,3.84%
14-Jun-21,16.39,16.04,17.04,15.04,-,4.73%
11-Jun-21,15.65,16.18,16.2,15.15,-,-2.80%
10-Jun-21,16.1,18.18,18.29,16.01,-,-10.01%
9-Jun-21,17.89,17.18,17.96,15.55,-,4.80%
8-Jun-21,17.07,16.58,17.75,15.15,-,3.96%
7-Jun-21,16.42,17.34,17.35,15.78,-,0.00%
4-Jun-21,16.42,18.09,18.42,16.18,-,-8.98%
3-Jun-21,18.04,17.73,19.27,17.45,-,3.20%
2-Jun-21,17.48,17.86,18.31,16.74,-,-2.35%
1-Jun-21,17.9,17.24,18.53,15.68,-,6.80%
28-May-21,16.76,16.8,16.86,15.9,-,0.12%
27-May-21,16.74,18.03,18.17,16.52,-,-3.57%
26-May-21,17.36,18.37,18.92,17.35,-,-7.86%
25-May-21,18.84,18.35,19.29,16.87,-,2.39%
24-May-21,18.4,20.5,20.51,18.38,-,-8.68%
21-May-21,20.15,20.42,20.89,19.53,-,-2.52%
20-May-21,20.67,22.33,23.5,20.19,-,-6.81%
19-May-21,22.18,22.46,25.96,21.88,-,3.94%
18-May-21,21.34,18.89,21.45,18.81,-,8.22%
17-May-21,19.72,19.89,21.58,19.67,-,4.84%
14-May-21,18.81,21.77,22.1,18.66,-,-18.68%
13-May-21,23.13,26.03,28.93,22.23,-,-16.17%
12-May-21,27.59,22.42,28.38,21.66,-,26.33%
11-May-21,21.84,21.17,23.73,20.71,-,11.09%
10-May-21,19.66,17.34,19.75,17.07,-,17.80%
7-May-21,16.69,18.45,18.57,16.68,-,-9.24%
6-May-21,18.39,18.41,20.6,18.21,-,-3.97%
5-May-21,19.15,18.84,19.58,17.89,-,-1.69%
4-May-21,19.48,18.16,21.85,18.11,-,6.39%
3-May-21,18.31,18.65,19.12,17.8,-,-1.61%
30-Apr-21,18.61,17.67,19.25,17.64,-,5.68%
29-Apr-21,17.61,16.88,18.87,16.77,-,1.91%
28-Apr-21,17.28,17.47,17.84,16.67,-,-1.59%
27-Apr-21,17.56,17.62,18.16,16.97,-,-0.45%
26-Apr-21,17.64,17.94,18.17,16.87,-,1.79%
23-Apr-21,17.33,18.56,18.78,16.8,-,-7.38%
22-Apr-21,18.71,17.28,19.9,16.99,-,6.91%
21-Apr-21,17.5,18.48,19.29,16.91,-,-6.32%
20-Apr-21,18.68,17.36,19.7,17.24,-,8.04%
19-Apr-21,17.29,17.04,18.61,16.78,-,6.40%
16-Apr-21,16.25,16.65,16.88,16.05,-,-1.93%
15-Apr-21,16.57,16.78,16.92,15.94,-,-2.47%
14-Apr-21,16.99,16.71,17.69,15.38,-,2.04%
13-Apr-21,16.65,16.99,17.86,16.43,-,-1.54%
12-Apr-21,16.91,17.43,17.91,16.81,-,1.32%
9-Apr-21,16.69,17.05,17.34,16.2,-,-1.53%
8-Apr-21,16.95,16.92,17.36,16.55,-,-1.22%
7-Apr-21,17.16,17.99,18.17,16.87,-,-5.30%
6-Apr-21,18.12,18.07,18.3,17.37,-,1.17%
5-Apr-21,17.91,18.16,18.4,17.35,-,3.35%
2-Apr-21,17.33,17.33,17.33,17.33,-,0.00%
1-Apr-21,17.33,18.6,18.64,17.29,-,-10.67%
31-Mar-21,19.4,19.8,20.11,18.85,-,-1.07%
30-Mar-21,19.61,20.76,21.75,19.47,-,-5.45%
29-Mar-21,20.74,20.4,21.6,19.42,-,9.97%
26-Mar-21,18.86,19.32,21.49,18.68,-,-4.80%
25-Mar-21,19.81,20.8,23.55,19.81,-,-6.56%
24-Mar-21,21.2,20.64,21.49,19.3,-,4.43%
23-Mar-21,20.3,19.46,21.58,18.8,-,7.52%
