Date,Price,Open,High,Low,Vol.,Change %
9-Aug-21,442.13,442.49,442.79,441.37,41.22,-0.08%
6-Aug-21,442.49,442.19,442.91,441.81,46.93,0.17%
5-Aug-21,441.76,440.26,441.79,439.91,38.97,0.63%
4-Aug-21,438.98,439.78,440.39,438.74,46.73,-0.49%
3-Aug-21,441.15,438.53,441.17,436.12,58.05,0.81%
2-Aug-21,437.59,440.3,440.85,437.31,58.78,-0.21%
30-Jul-21,438.51,437.97,440.05,437.79,68.95,-0.49%
29-Jul-21,440.65,439.9,441.79,439.9,47.44,0.41%
28-Jul-21,438.83,439.65,440.27,437.42,52.47,-0.04%
27-Jul-21,439.01,439.92,439.92,435.99,67.4,-0.46%
26-Jul-21,441.02,439.32,441.02,439.26,43.72,0.25%
23-Jul-21,439.94,437.52,440.3,436.79,63.77,1.03%
22-Jul-21,435.46,434.74,435.72,433.69,47.88,0.21%
21-Jul-21,434.55,432.34,434.7,431.01,64.72,0.81%
20-Jul-21,431.06,425.68,432.42,424.83,99.61,1.43%
19-Jul-21,424.97,426.19,431.41,421.97,147.99,-1.48%
16-Jul-21,431.34,436.01,436.05,430.93,75.87,-0.78%
15-Jul-21,434.75,434.92,435.52,432.75,55.13,-0.34%
14-Jul-21,436.24,437.45,437.9,434.92,64.13,0.15%
13-Jul-21,435.59,436.28,437.83,435.32,52.91,-0.34%
12-Jul-21,437.08,435.48,437.25,434.98,52.89,0.36%
9-Jul-21,435.52,432.59,435.77,432.33,76.24,1.07%
8-Jul-21,430.92,428.75,431.72,427.58,97.6,-0.81%
7-Jul-21,434.46,433.68,434.75,431.52,63.55,0.35%
6-Jul-21,432.93,433.72,433.95,430.01,68.71,-0.18%
2-Jul-21,433.72,431.67,434.1,430.52,57.7,0.76%
1-Jul-21,430.43,428.93,430.53,428.82,53.44,0.55%
30-Jun-21,428.06,427.33,428.7,427.28,64.83,0.08%
29-Jun-21,427.7,427.88,428.56,427.13,35.97,0.05%
28-Jun-21,427.47,427.21,427.64,425.89,53.16,0.20%
25-Jun-21,426.61,426.05,427.07,425.57,58.13,0.36%
24-Jun-21,425.1,424.94,425.55,424.63,45.11,0.59%
23-Jun-21,422.6,423.27,424.03,422.56,49.45,-0.12%
22-Jun-21,423.11,420.9,423.98,420.1,57.7,0.53%
21-Jun-21,420.86,416.8,421.06,415.93,72.82,1.43%
