Date,SPY,QQQ,ARK G,VUG,SCHA,USMV,VEU,
6-Aug-21,0.17%,-0.44%,-2.23%,-0.36%,0.40%,-0.05%,-0.50%,
5-Aug-21,0.63%,0.63%,4.34%,0.84%,1.72%,0.34%,0.36%,
4-Aug-21,-0.49%,0.14%,0.57%,0.07%,-1.11%,-0.39%,-0.14%,
3-Aug-21,0.81%,0.61%,0.39%,0.56%,0.37%,0.62%,0.65%,
2-Aug-21,-0.21%,0.01%,0.13%,-0.19%,-0.55%,-0.17%,0.56%,
30-Jul-21,-0.49%,-0.52%,-0.79%,-0.71%,-0.53%,-0.01%,-0.68%,
29-Jul-21,0.41%,0.18%,-0.30%,0.09%,0.86%,0.24%,0.59%,
28-Jul-21,-0.04%,0.38%,3.19%,0.25%,1.25%,-0.24%,1.08%,
27-Jul-21,-0.46%,-1.10%,-1.60%,-0.94%,-0.96%,0.16%,-0.87%,
26-Jul-21,0.25%,0.08%,-1.96%,0.09%,0.31%,-0.18%,-0.46%,
23-Jul-21,1.03%,1.17%,-0.57%,1.53%,0.56%,1.03%,0.06%,
22-Jul-21,0.21%,0.66%,-1.10%,0.72%,-1.27%,0.32%,0.13%,
21-Jul-21,0.81%,0.77%,1.47%,0.68%,1.57%,0.05%,1.28%,
20-Jul-21,1.43%,1.16%,2.78%,1.57%,3.16%,0.82%,0.60%,
19-Jul-21,-1.48%,-0.82%,0.78%,-1.23%,-1.55%,-0.93%,-1.73%,
16-Jul-21,-0.78%,-0.81%,0.61%,-0.66%,-1.20%,0.12%,-0.79%,
15-Jul-21,-0.34%,-0.70%,-0.96%,-0.54%,-0.57%,0.09%,-0.60%,
14-Jul-21,0.15%,0.18%,-3.70%,0.13%,-1.52%,0.36%,0.27%,
13-Jul-21,-0.34%,0.00%,-2.40%,-0.17%,-1.87%,-0.21%,-0.32%,
12-Jul-21,0.36%,0.39%,-1.66%,0.22%,0.15%,0.03%,0.22%,
9-Jul-21,1.07%,0.62%,1.48%,0.78%,2.10%,0.70%,1.83%,
8-Jul-21,-0.81%,-0.60%,-0.02%,-0.72%,-0.86%,-0.65%,-1.61%,
7-Jul-21,0.35%,0.21%,-2.18%,0.19%,-0.79%,0.60%,0.37%,
6-Jul-21,-0.18%,0.43%,-1.47%,0.63%,-1.20%,-0.01%,-1.01%,
5-Jul-21,0.00%,1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,
4-Jul-21,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,
3-Jul-21,0.00%,-0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,
2-Jul-21,0.76%,0.36%,-0.89%,1.11%,-0.80%,0.62%,0.20%,
1-Jul-21,0.55%,1.22%,0.39%,0.18%,0.64%,0.61%,0.08%,
30-Jun-21,0.08%,-0.12%,-0.64%,-0.15%,0.08%,-0.08%,-0.75%,
29-Jun-21,0.05%,0.62%,0.10%,0.29%,-0.39%,-0.04%,-0.05%,
28-Jun-21,0.20%,0.05%,3.25%,0.81%,-0.72%,0.19%,-0.37%,
25-Jun-21,0.36%,0.93%,0.51%,0.17%,0.46%,0.66%,0.38%,
24-Jun-21,0.59%,0.50%,1.24%,0.39%,1.10%,0.65%,0.95%,
