Date,Volume,% Change,Signal
1/4/2021,48638200,,
1/5/2021,32245200,0.731732694,BUY
1/6/2021,44700000,2.839030286,HOLD
1/7/2021,51498900,7.944654503,HOLD
1/8/2021,75055500,7.840307243,SELL
1/11/2021,59301600,-7.821414918,BUY
1/12/2021,46270700,4.7152948,HOLD
1/13/2021,33312500,0.585087904,SELL
1/14/2021,31266300,-1.101341679,SELL
1/15/2021,38777600,-2.229588977,BUY
1/19/2021,25367000,2.225962918,HOLD
1/20/2021,25665900,0.698599787,SELL
1/21/2021,20521100,-0.642015626,BUY
1/22/2021,20066500,0.195271475,BUY
1/25/2021,41173400,4.034769507,BUY
1/26/2021,23131600,0.259995356,SELL
1/27/2021,27334000,-2.143615389,SELL
1/28/2021,26378000,-3.324613655,SELL
1/29/2021,34990800,-5.015376961,BUY
2/1/2021,25391400,5.832163441,BUY
2/2/2021,24346200,3.92707643,SELL
2/3/2021,18343500,-2.073806533,SELL
2/4/2021,15812700,-0.54990841,BUY
2/5/2021,18566600,0.263531366,BUY
2/8/2021,20161700,1.313026143,SELL
2/9/2021,15157700,-1.616821618,SELL
2/10/2021,36216100,-5.255104831,BUY
2/11/2021,21622800,0.849875222,HOLD
2/12/2021,23768300,0.549493892,SELL
2/16/2021,19802300,-2.438369913,BUY
2/17/2021,25996500,0.242402073,SELL
2/18/2021,17957100,-1.349372825,SELL
2/19/2021,18958300,-0.772183323,SELL
2/22/2021,37269700,-8.549851381,SELL
2/23/2021,66606900,-2.191738719,BUY
2/24/2021,36767000,6.178809315,SELL
2/25/2021,39023900,-8.059088334,SELL
2/26/2021,41089200,-0.985015243,BUY
3/1/2021,27136200,6.355291292,SELL
3/2/2021,23732200,-4.452763743,SELL
3/3/2021,30208000,-4.842373713,SELL
3/4/2021,65919500,-4.862218183,SELL
3/5/2021,89396500,-3.779928898,SELL
3/8/2021,51787000,-5.844972237,BUY
3/9/2021,67523300,19.64121085,SELL
3/10/2021,60605700,-0.819504646,BUY
3/11/2021,36253900,4.721129561,SELL
3/12/2021,33583800,-0.839050218,BUY
3/15/2021,29335600,2.048350565,SELL
3/16/2021,32195700,-4.387377101,BUY
3/17/2021,40372500,3.683074178,SELL
3/18/2021,33224800,-6.932079136,BUY
3/19/2021,42894000,0.261807527,HOLD
3/22/2021,39512200,2.310382976,SELL
3/23/2021,30491900,-1.170153262,SELL
3/24/2021,33795200,-4.816049732,BUY
3/25/2021,39224900,1.605660241,SELL
3/26/2021,33852800,-3.385435778,SELL
3/29/2021,28637000,-1.199276508,BUY
3/30/2021,39432400,3.98011058,HOLD
3/31/2021,33337300,5.083225482,SELL
4/1/2021,35298400,-0.925245571,BUY
4/5/2021,41842800,4.427652103,HOLD
4/6/2021,28271800,0.082484239,SELL
4/7/2021,26309400,-2.985747167,BUY
4/8/2021,23924300,1.912159657,SELL
4/9/2021,21437100,-0.991513364,BUY
